AGE;q_xm;q_xw;trend_m;trend_w
0;0.00005900;0.00343900;0.03303985;0.03303985
1;0.00005900;0.00031700;0.03303985;0.03303985
2;0.00005900;0.00021400;0.03303985;0.03303985
3;0.00005900;0.00015800;0.03303985;0.03303985
4;0.00005900;0.00012200;0.03303985;0.03303985
5;0.00005900;0.00010800;0.03303985;0.03303985
6;0.00005900;0.00010200;0.03303985;0.03303985
7;0.00005900;0.00008700;0.03303985;0.03303985
8;0.00005900;0.00009900;0.03303985;0.03303985
9;0.00005900;0.00008400;0.03303985;0.03303985
10;0.00005900;0.00008300;0.03303985;0.03303985
11;0.00005900;0.00009800;0.03303985;0.03303985
12;0.00005900;0.00010400;0.03303985;0.03303985
13;0.00005900;0.00011400;0.03303985;0.03303985
14;0.00005900;0.00014000;0.03303985;0.03303985
15;0.00005900;0.00019200;0.03303985;0.03303985
16;0.00005900;0.00027600;0.03303985;0.03303985
17;0.00005900;0.00036400;0.03303985;0.03303985
18;0.00005900;0.00059600;0.03303985;0.03303985
19;0.00005900;0.00063000;0.03303985;0.03303985
20;0.00005900;0.00062700;0.03303985;0.03303985
21;0.00005900;0.00063600;0.03303985;0.03303985
22;0.00005900;0.00062500;0.03303985;0.03303985
23;0.00005900;0.00064200;0.03301381;0.03298816
24;0.00005900;0.00062200;0.03138903;0.03287161
25;0.00005900;0.00061700;0.0300949;0.03278166
26;0.00005900;0.00061600;0.02911046;0.03268512
27;0.00006800;0.00062700;0.02839963;0.03252693
28;0.00008500;0.00061300;0.02793402;0.03226875
29;0.00011000;0.00060300;0.0276564;0.03193675
30;0.00011000;0.00059800;0.02750067;0.03152501
31;0.00011000;0.00060500;0.02740031;0.03094365
32;0.00011100;0.00062600;0.02730804;0.03014668
33;0.00011100;0.00066300;0.02719391;0.02914996
34;0.00011100;0.00071300;0.02706035;0.02801054
35;0.00011200;0.00077500;0.02695565;0.02682974
36;0.00011200;0.00085000;0.02691229;0.02567995
37;0.00011200;0.00094400;0.02690961;0.02464377
38;0.00011200;0.00104700;0.02690928;0.023773
39;0.00011300;0.00115300;0.02688675;0.0230565
40;0.00011800;0.00126100;0.02684974;0.02248214
